timestamp,x,y,z,vx,vy,vz,ax,ay,az,roll,pitch,yaw
1729571585627364,-0.24810286,0.19400333,-1.7295805,0.03268061,0.0067454176,-0.22555594,0.0,0.0,0.0,0.6093996290873432,0.29908867197040784,90.2359937641557
1729571585643364,-0.24848641,0.19263382,-1.732965,0.031374447,0.0050078495,-0.2272734,-0.08163507,-0.108598,-0.10734144,0.6023185007733797,0.29211663690064077,90.21721015533697
1729571585651364,-0.24866831,0.19196619,-1.7346693,0.030740375,0.00416531,-0.22804098,-0.07925904,-0.10531744,-0.09594671,0.5986338540464499,0.28829731154259497,90.20891124973308
1729571585659364,-0.24884503,0.19130924,-1.7363812,0.030102294,0.0033239422,-0.22876959,-0.07976009,-0.105170965,-0.09107589,0.5949534251674843,0.28425720421752504,90.20121340950466
1729571585667364,-0.2490157,0.19066271,-1.7381002,0.029479098,0.0024979908,-0.22945812,-0.077899545,-0.10324391,-0.08606724,0.5912080794801831,0.2796617119199477,90.1942942211517
1729571585683364,-0.24933957,0.18939993,-1.7415577,0.028272841,0.0009261136,-0.23063478,-0.075391024,-0.09824233,-0.073540956,0.5829901926773549,0.2687253332332493,90.18230003498994
1729571585691364,-0.24949308,0.1887829,-1.7432951,0.027699342,0.00014531275,-0.23111366,-0.071687385,-0.097600095,-0.059859823,0.5784579981844998,0.2622530458589124,90.17709527254232
1729571585699364,-0.24964108,0.18817508,-1.7450376,0.02714617,-0.00059939496,-0.23157918,-0.06914651,-0.093088455,-0.058190893,0.573728346916347,0.25521569146114237,90.172443742401
1729571585707364,-0.24978386,0.18757622,-1.746785,0.026567556,-0.0013218985,-0.23202118,-0.07232674,-0.09031294,-0.055249777,0.5689335692437004,0.24759899671155608,90.16834546579766
1729571585723364,-0.25005493,0.18640432,-1.7502934,0.025433332,-0.002726879,-0.23272842,-0.07088901,-0.08781128,-0.04420243,0.5586687096290341,0.2308249730739402,90.16143984850522
1729571585731364,-0.25018188,0.18583018,-1.7520534,0.024894856,-0.0034016853,-0.23301075,-0.06730948,-0.08435079,-0.035291538,0.5533446716480287,0.22178608100639302,90.15864619506861
1729571585739364,-0.25030437,0.18526399,-1.7538168,0.024361584,-0.004057381,-0.23327821,-0.066658944,-0.081961945,-0.033432618,0.5477780182469938,0.21235739074598703,90.1577581543522
1729571585747364,-0.2504226,0.18470553,-1.7555834,0.023832409,-0.0046858275,-0.2334949,-0.06614695,-0.07855583,-0.027084721,0.5420495345239053,0.20257905705854282,90.1573892198205
1729571585755364,-0.25159454,0.1837312,-1.757586,0.022815922,-0.005540376,-0.23376285,-0.1270608,-0.106818564,-0.033494085,0.5360874742144163,0.19255972361662468,90.15733449377419
1729571585771364,-0.2538599,0.18182895,-1.7615825,0.020839369,-0.007191555,-0.23414074,-0.123534575,-0.103198685,-0.023618339,0.5252933310930042,0.17229106109397,90.15714306078675
1729571585779364,-0.254955,0.18090014,-1.763576,0.019856313,-0.007980345,-0.23429674,-0.12288196,-0.09859871,-0.019500032,0.519868548732443,0.16177978216533725,90.15752547652802
1729571585787364,-0.25602606,0.17998582,-1.7655663,0.01891816,-0.008729564,-0.23440243,-0.117269106,-0.0936524,-0.013211741,0.5140920614417418,0.15096206957785613,90.15822208048587
1729571585803364,-0.25809935,0.17819712,-1.7695369,0.017119786,-0.010159602,-0.2344856,-0.11239841,-0.089377396,-0.005197711,0.5016196922054246,0.12825337059510447,90.16304406486377
1729571585811364,-0.25910237,0.17732337,-1.7715162,0.016252657,-0.010826223,-0.23443623,-0.10839104,-0.083327524,0.006170943,0.49462284345763996,0.11627236439819949,90.16701917803027
1729571585819364,-0.26008388,0.17646317,-1.7734913,0.0153915435,-0.011459361,-0.23436071,-0.10763923,-0.07914227,0.009439886,0.48708256360127455,0.10394366339392101,90.17126069441659
1729571585827364,-0.2610445,0.17561619,-1.7754622,0.014558593,-0.012072368,-0.23426017,-0.10411883,-0.07662584,0.012567266,0.47882031369879174,0.09125398057286528,90.17569345255488
1729571585843364,-0.26290536,0.17396078,-1.77939,0.01295895,-0.013253745,-0.2338989,-0.09997765,-0.073836066,0.022579914,0.45970492559482373,0.0649026191478111,90.18516686535806
1729571585851364,-0.2638066,0.1731518,-1.7813464,0.012202289,-0.013793236,-0.23365542,-0.09458267,-0.06743637,0.030433757,0.4490681569496596,0.051271728982055155,90.19013238862463
1729571585859364,-0.26468912,0.17235515,-1.7832979,0.0114626745,-0.014308462,-0.2333887,-0.0924518,-0.06440328,0.033339486,0.43772657111039354,0.0375265560869244,90.19524136545579
1729571585867364,-0.2655536,0.1715707,-1.7852441,0.010748941,-0.014778543,-0.23309644,-0.08921663,-0.058760166,0.036533922,0.4257339244217894,0.02384791300058398,90.20049379739046
1729571585883364,-0.26691583,0.16904013,-1.7906823,0.0095138615,-0.016137289,-0.23260094,-0.07719249,-0.0849216,0.030968336,0.399860246064517,-0.003068435805668528,90.2129862677679
1729571585891364,-0.2675767,0.16780795,-1.7933617,0.008941348,-0.01678385,-0.23227756,-0.07156422,-0.080820166,0.04042312,0.3861302151858402,-0.01606978114128527,90.22046541370239
1729571585899364,-0.2682244,0.16659711,-1.7960149,0.008401503,-0.017396707,-0.23192656,-0.0674806,-0.0766071,0.043874603,0.37181696228984945,-0.029037043055185043,90.2279923185313
1729571585907364,-0.26885915,0.16540721,-1.7986425,0.007899172,-0.01797215,-0.23152831,-0.06279139,-0.07193046,0.04978105,0.3571389038554058,-0.04184401041140711,90.23545782076646
1729571585923364,-0.27009016,0.16308902,-1.8038217,0.0069720824,-0.01899333,-0.23056318,-0.057943076,-0.06382365,0.060320828,0.3269334924437915,-0.06764175362118899,90.25055958622302
1729571585931364,-0.27068648,0.16196023,-1.8063735,0.006573895,-0.019457657,-0.22997984,-0.049773425,-0.05804095,0.07291697,0.31154516138704436,-0.08088786279611004,90.25797053156221
1729571585939364,-0.27126846,0.16085182,-1.8089001,0.0061934697,-0.01989893,-0.22933865,-0.047553156,-0.055159207,0.08014961,0.2962609631520513,-0.09440508981461398,90.26538829759535
1729571585947364,-0.27183792,0.1597628,-1.8114017,0.0058369646,-0.020304447,-0.22864345,-0.044563144,-0.050689556,0.08689984,0.2810066875637983,-0.10833241431249095,90.27166542202632
1729571585963364,-0.27293965,0.15764178,-1.8163301,0.0052116592,-0.02101139,-0.2270814,-0.03908158,-0.04418392,0.097627744,0.2510339714405489,-0.13702116919640808,90.28401488276498
