timestamp,x,y,z,vx,vy,vz,ax,ay,az,roll,pitch,yaw,roll_rate,pitch_rate,yaw_rate
1733312869429918,0.10434629,0.12919632,-9.34575,0.024202075,-0.061139643,-0.20053641,0.0,0.0,0.0,-0.5725669729433623,-0.32582312384772877,89.64087760985537,0.0,0.0,0.0
1733312869445918,0.1048353,0.12708135,-9.34886,0.025064122,-0.060849804,-0.19817355,0.05387794,0.018114923,0.14767888,-0.5738711308479469,-0.356836975582374,89.63892293488934,-0.08150986903653397,-1.9383657334153244,-0.12216718537710175
1733312869453918,0.10508204,0.12604374,-9.350405,0.02548195,-0.060657505,-0.19708599,0.052228566,0.024037434,0.13594516,-0.5740297119724983,-0.37177423427247036,89.63827342049849,-0.019822640568919248,-1.86715733626205,-0.08118929885630609
1733312869461918,0.105330385,0.1250194,-9.351941,0.025906652,-0.060443304,-0.19599614,0.05308771,0.026775056,0.136232,-0.574020585069564,-0.38641351776594546,89.63790398557434,0.0011408628667769673,-1.8299104366843837,-0.04617936551804863
1733312869469918,0.10558035,0.12400837,-9.353473,0.026311146,-0.060192928,-0.19492237,0.050561734,0.031297095,0.13422035,-0.5739657632760283,-0.40074503355182667,89.63782139703723,0.00685272419196358,-1.7914394732351577,-0.010323567140192492
1733312869485918,0.10645545,0.12154218,-9.35585,0.027320918,-0.059820455,-0.19231197,0.063110724,0.02327957,0.16315001,-0.5729042593515824,-0.4278752544842412,89.63765278239161,0.06634399527786904,-1.6956388082759062,-0.010538415350279039
1733312869493918,0.10707431,0.12009168,-9.35671,0.02790778,-0.05969868,-0.19104448,0.073357716,0.015222001,0.15843658,-0.5720228094344761,-0.4402491376052226,89.63753262659151,0.11018123963828018,-1.5467353901226752,-0.015019475013867592
1733312869501918,0.10768763,0.11866512,-9.357578,0.028503329,-0.05953732,-0.18978363,0.07444364,0.020169651,0.15760584,-0.5707081131801084,-0.45195478247861837,89.63854642397348,0.1643370317959734,-1.4632056091744707,0.12672467274713753
1733312869509918,0.10829575,0.11726228,-9.358454,0.029086228,-0.05934236,-0.18853308,0.07286248,0.024370382,0.15631877,-0.5691150532183953,-0.4631158809030415,89.63959433277847,0.19913249521413728,-1.3951373030528949,0.13098860062439907
1733312869525918,0.10949698,0.11452664,-9.360233,0.030201798,-0.058868635,-0.18601453,0.069723114,0.029607674,0.15740934,-0.5645711799770351,-0.4842500089685917,89.64241427898126,0.28399207758501477,-1.3208830040968873,0.17624663767378956
1733312869533918,0.11009051,0.1131932,-9.361136,0.030756177,-0.058601517,-0.18489663,0.06929738,0.033389777,0.1397375,-0.561700010140598,-0.4945759775283562,89.64418629671515,0.35889622955462813,-1.2907460699705624,0.2215022167364528
1733312869541918,0.110679716,0.11188218,-9.362046,0.03131663,-0.058319446,-0.18380207,0.07005664,0.03525894,0.1368206,-0.5585137385895808,-0.5047048928739971,89.64626562081445,0.3982839438771581,-1.2661144182051165,0.2599155124124895
1733312869549918,0.11126478,0.11059339,-9.362962,0.03185662,-0.05798661,-0.18272896,0.067498535,0.041604504,0.13413839,-0.5549433020677997,-0.5144890456133882,89.64819131116506,0.44630456522263523,-1.2230190924238773,0.24071129382727227
1733312869565918,0.1124117,0.10808494,-9.364811,0.03289941,-0.057245553,-0.18069428,0.065174416,0.046316065,0.12716743,-0.5458269263695165,-0.5332550278005239,89.65280775106335,0.569773481142699,-1.1728738866959818,0.2885274936422994
1733312869573918,0.1129738,0.106864914,-9.365745,0.033378232,-0.056817397,-0.17990977,0.05985284,0.05351938,0.098064534,-0.5406145187082771,-0.54258163526983,89.65484614057253,0.6515509576549153,-1.1658259336632704,0.25479868864891575
1733312869581918,0.113532364,0.105666354,-9.366685,0.033862628,-0.056358393,-0.1791103,0.060549468,0.05737552,0.09993277,-0.5349728274912889,-0.5518411260495648,89.65725002338937,0.7052114021235325,-1.1574363474668397,0.30048535210355115
1733312869589918,0.11408761,0.10448896,-9.36764,0.0343421,-0.055896472,-0.17832883,0.059933864,0.057740133,0.097684555,-0.5290308027206069,-0.5609017991735886,89.65975632850545,0.7427530963352497,-1.1325841405029826,0.31328813951149914
1733312869605918,0.11518849,0.10219667,-9.369566,0.0352372,-0.054891445,-0.1767385,0.055943847,0.06281421,0.099395394,-0.5159268171612124,-0.578629524630441,89.66494319800135,0.8189990974621567,-1.1079828410532728,0.32417934349383387
1733312869613918,0.11522983,0.10140412,-9.370953,0.03543646,-0.0542243,-0.17611457,0.02490729,0.08339295,0.077990815,-0.508273012030971,-0.5870669523684092,89.66765441974351,0.9567256412801817,-1.0546784672460332,0.33890271776843467
1733312869621918,0.11527908,0.100624785,-9.3723345,0.035628024,-0.05353856,-0.17543828,0.023945699,0.08571753,0.08453614,-0.4997940757518039,-0.5955274993352215,89.67166353316415,1.0598670348958827,-1.0575683708515415,0.501139177580082
1733312869629918,0.11533602,0.09985858,-9.373712,0.035805874,-0.05285335,-0.17482577,0.022231134,0.085651405,0.07656403,-0.49101903267920294,-0.604066931011276,89.67573411320105,1.096880384075119,-1.0674289595067894,0.5088225046130072
1733312869645918,0.11549699,0.09837024,-9.376453,0.03617203,-0.051421735,-0.17343327,0.02288469,0.08947588,0.087031156,-0.4733666296100185,-0.6205340167140524,89.68349619993053,1.1032751918240262,-1.0291928564235342,0.4851304205926203
1733312869653918,0.11558783,0.097645715,-9.377819,0.03634784,-0.050689947,-0.1728937,0.021976417,0.091473565,0.06744638,-0.4648253158791504,-0.6279406758806051,89.68712630567474,1.0676642163585197,-0.9258323958190791,0.45376321802614966
